NONMAN_AUTO,NONMAN_TRANSIT,NONMAN_NONMOTOR,NONMAN_SOV_0,NONMAN_SOV_1,NONMAN_SOV_2,NONMAN_HOV_0,NONMAN_HOV_1,NONMAN_HOV_2,SHOP_HOV_0,SHOP_HOV_1,SHOP_HOV_2,MAINT_HOV_0,MAINT_HOV_1,MAINT_HOV_2,EAT_HOV_0,EAT_HOV_1,EAT_HOV_2,VISIT_HOV_0,VISIT_HOV_1,VISIT_HOV_2,DISCR_HOV_0,DISCR_HOV_1,DISCR_HOV_2,ESCORT_HOV_0,ESCORT_HOV_1,ESCORT_HOV_2,SHOP_SOV_0,SHOP_SOV_1,SHOP_SOV_2,MAINT_SOV_0,MAINT_SOV_1,MAINT_SOV_2,EAT_SOV_0,EAT_SOV_1,EAT_SOV_2,VISIT_SOV_0,VISIT_SOV_1,VISIT_SOV_2,DISCR_SOV_0,DISCR_SOV_1,DISCR_SOV_2,ATWORK_SOV_0,ATWORK_SOV_2,TOTAL_EMP,ATWORK_NM,ALL_HHS_TRANSIT,NONMAN_MAAS,MGRA
13.66007,12.13171,10.23686,11.85315,15.69328,17.16759,14.79589,15.77236,15.29175,11.76403,12.74232,12.26062,13.15438,14.13351,13.65108,13.5799,14.56304,14.07715,12.7911,13.77655,13.28889,11.98803,12.97187,12.48524,14.86464,15.84455,15.3615,8.75511,12.66296,14.13872,10.10583,14.05299,15.52971,10.31715,14.48384,15.96523,9.38965,13.69726,15.18102,8.67637,12.89243,14.37482,8.62148,13.85098,16.52139,7.03688,10.82414,12.61677,34
13.66007,11.32083,10.16811,11.23994,15.67709,17.1639,14.77142,15.75742,15.26747,11.7396,12.72739,12.23634,13.13154,14.11956,13.62839,13.56219,14.55224,14.05956,12.77547,13.76703,13.27336,11.97144,12.96178,12.46878,14.84283,15.83123,15.33983,8.08329,12.64679,14.13504,9.45927,14.03787,15.52628,9.70318,14.47215,15.96259,8.76331,13.68696,15.1787,8.0765,12.8815,14.37235,8.01474,13.847,16.51659,6.96667,10.03039,12.61677,35
13.66007,11.32187,10.13204,11.22843,15.67696,17.16387,14.77108,15.7573,15.26728,11.73941,12.72732,12.23624,13.13127,14.11946,13.62823,13.56188,14.55213,14.05937,12.77519,13.76693,13.27319,11.97119,12.96169,12.46863,14.84252,15.83112,15.33965,8.07591,12.64672,14.13503,9.44843,14.03776,15.52626,9.68841,14.47203,15.96256,8.74761,13.68685,15.17867,8.06406,12.8814,14.37232,8.00341,13.84697,16.51655,6.93202,10.0314,12.61677,36
13.66007,12.47305,10.45423,12.17105,15.70579,17.17046,14.81542,15.78393,15.31039,11.7823,12.75311,12.27803,13.17159,14.14377,13.66765,13.59298,14.57094,14.08996,12.80197,13.78321,13.29973,12.00159,12.98006,12.49853,14.88279,15.85549,15.37918,9.07262,12.67463,14.1414,10.41769,14.06411,15.53226,10.61273,14.49238,15.96718,9.67347,13.70447,15.18267,8.99456,12.90129,14.37684,8.94419,13.85415,16.52555,7.27305,11.15031,12.61677,37
13.66007,11.33852,10.27069,11.28752,15.67775,17.16405,14.77284,15.75803,15.26848,11.74078,12.72793,12.23723,13.13262,14.12005,13.62919,13.56289,14.55253,14.06003,12.77591,13.7672,13.27363,11.97206,12.96206,12.46922,14.84385,15.83166,15.34053,8.12812,12.64737,14.13517,9.5007,14.0384,15.5264,9.73606,14.47246,15.96266,8.78738,13.68715,15.17874,8.10621,12.8818,14.37241,8.06632,13.84719,16.51678,7.07378,10.03119,12.61677,38
13.66007,12.47305,10.45465,12.17112,15.70579,17.17046,14.81543,15.78393,15.31039,11.78231,12.75311,12.27804,13.17159,14.14376,13.66765,13.59298,14.57094,14.08996,12.80197,13.78321,13.29973,12.00159,12.98006,12.49853,14.88279,15.85549,15.37918,9.07273,12.67464,14.1414,10.41764,14.06411,15.53226,10.61277,14.49239,15.96718,9.67349,13.70447,15.18267,8.99457,12.90129,14.37684,8.94427,13.85415,16.52555,7.27351,11.15031,12.61677,39
13.66007,12.38416,10.4114,12.09059,15.70221,17.16964,14.80992,15.78062,15.30506,11.77682,12.74985,12.27279,13.16659,14.14075,13.66279,13.58935,14.56869,14.08633,12.79895,13.78131,13.29664,11.99797,12.97784,12.49494,14.87804,15.85258,15.37449,8.98693,12.67111,14.14059,10.33616,14.06084,15.53151,10.5387,14.48996,15.96663,9.60183,13.70241,15.1822,8.91876,12.89889,14.37629,8.86289,13.85324,16.52446,7.22486,11.0638,12.61677,40
13.66007,12.29671,10.3683,12.01156,15.69896,17.16889,14.80489,15.77761,15.30022,11.77187,12.74691,12.26804,13.16199,14.13798,13.65832,13.58601,14.56663,14.08299,12.79614,13.77954,13.29377,11.99442,12.97569,12.49145,14.87356,15.84982,15.37004,8.90303,12.66792,14.13986,10.25514,14.05784,15.53082,10.46557,14.48773,15.96611,9.53076,13.7005,15.18176,8.83855,12.89657,14.37576,8.78305,13.85242,16.52342,7.17559,10.97621,12.61677,41
13.66007,12.34229,10.36097,12.04713,15.70047,17.16924,14.80711,15.77901,15.30248,11.7742,12.74835,12.27036,13.16406,14.13929,13.66044,13.58736,14.56754,14.08447,12.79723,13.78032,13.29502,11.99603,12.97673,12.49313,14.87556,15.85115,15.37218,8.9434,12.66948,14.14021,10.29224,14.05927,15.53115,10.49569,14.48872,15.96634,9.55905,13.70134,15.18195,8.87559,12.89768,14.37601,8.81924,13.85281,16.52393,7.17381,11.0219,12.61677,42
13.67542,11.69348,10.31514,11.54093,15.6985,17.18062,14.79623,15.77818,15.29176,11.76045,12.74468,12.25687,13.15143,14.13579,13.64788,13.58557,14.5726,14.08258,12.79798,13.78688,13.29559,11.99346,12.98131,12.49063,14.85818,15.84245,15.35465,8.38671,12.66475,14.14872,9.7687,14.05553,15.53963,10.01529,14.49291,15.97982,9.08299,13.70716,15.19576,8.35717,12.90146,14.38923,8.31125,13.86323,16.52436,7.11697,10.41632,12.64012,43
13.67542,11.70872,10.31152,11.55068,15.69876,17.18068,14.79661,15.77843,15.29215,11.76051,12.74474,12.25697,13.15159,14.13591,13.64806,13.58601,14.57285,14.08299,12.79841,13.78712,13.29597,11.99374,12.98147,12.49091,14.85852,15.84265,15.35498,8.38837,12.66482,14.14873,9.77365,14.05565,15.53966,10.03105,14.49318,15.97988,9.10061,13.70741,15.19582,8.3679,12.90164,14.38927,8.3196,13.86329,16.52441,7.11073,10.43228,12.64012,44
13.63164,11.99114,10.31686,11.76044,15.66232,17.13857,14.76399,15.74143,15.25938,11.72574,12.70565,12.22208,13.1162,14.09673,13.61246,13.55029,14.53384,14.047,12.76145,13.74723,13.25872,11.95582,12.94074,12.45286,14.82789,15.80815,15.32413,8.62285,12.62629,14.10457,9.97547,14.01696,15.49617,10.23702,14.45457,15.93725,9.3086,13.66787,15.15279,8.55903,12.86126,14.34532,8.52658,13.82137,16.4858,7.10846,10.6789,12.56985,45
13.67542,12.2614,10.35288,11.98013,15.71251,17.18382,14.81727,15.79113,15.31273,11.7814,12.75752,12.2777,13.17081,14.14769,13.66719,13.6001,14.58156,14.09716,12.81045,13.79459,13.30815,12.00821,12.99034,12.50535,14.87725,15.85421,15.37373,8.86781,12.67866,14.15189,10.22396,14.06842,15.54257,10.43407,14.50261,15.98202,9.49853,13.7155,15.19765,8.80438,12.91124,14.39145,8.75217,13.86673,16.52872,7.16155,10.94015,12.64012,46
13.63164,11.9304,10.21047,11.6891,15.66034,17.13812,14.76057,15.7396,15.25641,11.72274,12.70404,12.21947,13.1133,14.09517,13.60992,13.54768,14.53243,14.0447,12.75914,13.74598,13.25667,11.95349,12.93949,12.45081,14.82502,15.8066,15.32162,8.55396,12.62455,14.10418,9.90629,14.01526,15.49579,10.1627,14.45304,15.9369,9.23329,13.66651,15.15248,8.48702,12.8599,14.34501,8.45569,13.82088,16.48523,7.00168,10.60941,12.56985,47
13.63164,12.09013,10.27155,11.82717,15.66475,17.13913,14.76741,15.74368,15.26302,11.72959,12.70815,12.22613,13.11977,14.09897,13.61609,13.55246,14.53527,14.04932,12.7633,13.74845,13.26069,11.95809,12.94222,12.45526,14.83157,15.81045,15.32787,8.70524,12.62899,14.10519,10.05501,14.01938,15.49673,10.29508,14.45612,15.9376,9.3656,13.66919,15.15309,8.62479,12.86286,14.34569,8.59391,13.82198,16.48668,7.06375,10.76129,12.56985,48
13.63164,11.4055,10.14231,11.28816,15.6502,17.13581,14.74514,15.73024,15.24119,11.70627,12.69401,12.20314,13.09889,14.08642,13.59567,13.53739,14.5262,14.03454,12.75036,13.74066,13.24797,11.9434,12.93338,12.44085,14.81173,15.79852,15.30846,8.06233,12.61368,14.10171,9.47008,14.00578,15.49364,9.803,14.4463,15.93537,8.88068,13.66075,15.15118,8.09916,12.85329,14.34352,8.04903,13.81835,16.48222,6.93029,10.15757,12.56985,49
13.67542,12.16125,10.30295,11.89005,15.70926,17.18307,14.81221,15.78812,15.30787,11.77588,12.75422,12.27237,13.16508,14.14419,13.6615,13.59647,14.57938,14.09362,12.80723,13.79264,13.30497,12.00424,12.98797,12.50149,14.87224,15.85108,15.36866,8.76089,12.67509,14.15107,10.10877,14.06462,15.5417,10.3441,14.50025,15.98148,9.40619,13.71339,15.19717,8.70163,12.90867,14.39086,8.65964,13.8659,16.52758,7.11236,10.83326,12.64012,50
